,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
19-4061,1010,0.65,150,0.65,50,0.65,220,0.65,710,0.65,,,2950,0.65,6340,0.65,,,210,0.65,,
19-4091,140,0.77,100,0.77,130,0.77,280,0.77,320,0.77,0,0.77,830,0.77,2170,0.77,20,0.77,50,0.77,210,0.77
19-4092,130,0.0095,,,,,0,0.0095,0,0.0095,,,,,720,0.0095,,,,,0,0.0095
19-4093,,,0,0.42,,,0,0.42,,,0,0.42,,,410,0.42,30,0.42,,,50,0.42
19-4099,220,0.61,160,0.61,610,0.61,230,0.61,590,0.61,70,0.61,2860,0.61,5120,0.61,20,0.61,130,0.61,,
21-1011,520,0.033,260,0.033,360,0.033,840,0.033,800,0.033,180,0.033,3760,0.033,7590,0.033,210,0.033,180,0.033,470,0.033
21-1012,1230,0.0085,720,0.0085,1660,0.0085,2440,0.0085,2200,0.0085,670,0.0085,10300,0.0085,22620,0.0085,480,0.0085,1100,0.0085,1800,0.0085
21-1013,100,0.014,0,0.014,0,0.014,0,0.014,0,0.014,,,280,0.014,730,0.014,,,0,0.014,0,0.014
21-1014,400,0.0048,390,0.0048,560,0.0048,950,0.0048,960,0.0048,250,0.0048,2480,0.0048,6960,0.0048,80,0.0048,170,0.0048,730,0.0048
21-1015,540,0.0094,200,0.0094,650,0.0094,1900,0.0094,880,0.0094,450,0.0094,3120,0.0094,8750,0.0094,200,0.0094,190,0.0094,590,0.0094
21-1021,1380,0.028,560,0.028,1140,0.028,2130,0.028,2150,0.028,470,0.028,12410,0.028,22630,0.028,360,0.028,560,0.028,1400,0.028
21-1022,690,0.0035,350,0.0035,950,0.0035,1490,0.0035,1360,0.0035,270,0.0035,6230,0.0035,12540,0.0035,180,0.0035,330,0.0035,680,0.0035
21-1023,580,0.0031,520,0.0031,720,0.0031,1330,0.0031,1260,0.0031,350,0.0031,4980,0.0031,11040,0.0031,190,0.0031,350,0.0031,760,0.0031
21-1091,350,0.045,160,0.045,360,0.045,270,0.045,430,0.045,120,0.045,2760,0.045,4890,0.045,100,0.045,160,0.045,180,0.045
21-1092,420,0.25,280,0.25,440,0.25,730,0.25,450,0.25,210,0.25,1020,0.25,4450,0.25,290,0.25,180,0.25,410,0.25
21-1093,2520,0.13,1770,0.13,2520,0.13,4210,0.13,2290,0.13,830,0.13,15020,0.13,33340,0.13,740,0.13,1170,0.13,2240,0.13
21-2011,720,0.0081,310,0.0081,470,0.0081,700,0.0081,,,150,0.0081,3830,0.0081,8490,0.0081,160,0.0081,250,0.0081,790,0.0081
21-2021,250,0.025,160,0.025,240,0.025,350,0.025,550,0.025,50,0.025,1190,0.025,3360,0.025,80,0.025,60,0.025,440,0.025
23-1011,3410,0.035,1450,0.035,1980,0.035,4580,0.035,7970,0.035,460,0.035,48860,0.035,72760,0.035,370,0.035,580,0.035,2690,0.035
23-1012,,,,,,,0,0.41,,,,,,,690,0.41,,,,,0,0.41
23-1021,,,0,0.64,,,0,0.64,200,0.64,,,870,0.64,1410,0.64,,,,,90,0.64
23-1022,90,0.06,0,0.06,0,0.06,0,0.06,0,0.06,,,0,0.06,460,0.06,,,50,0.06,0,0.06
23-1023,340,0.4,200,0.4,330,0.4,390,0.4,190,0.4,170,0.4,,,3250,0.4,210,0.4,280,0.4,340,0.4
23-2011,1150,0.94,640,0.94,1010,0.94,1770,0.94,3120,0.94,100,0.94,12630,0.94,22220,0.94,140,0.94,360,0.94,1240,0.94
23-2091,0,0.5,0,0.5,0,0.5,0,0.5,230,0.5,,,610,0.5,1380,0.5,,,,,110,0.5
23-2093,90,0.99,0,0.99,170,0.99,0,0.99,0,0.99,0,0.99,1420,0.99,3450,0.99,0,0.99,0,0.99,150,0.99
25-2011,1810,0.0074,1460,0.0074,1850,0.0074,5640,0.0074,4750,0.0074,520,0.0074,20180,0.0074,40000,0.0074,370,0.0074,930,0.0074,2500,0.0074
25-2012,450,0.15,250,0.15,730,0.15,1320,0.15,1350,0.15,210,0.15,1700,0.15,7400,0.15,210,0.15,450,0.15,750,0.15
25-2021,3890,0.0044,3300,0.0044,5210,0.0044,10810,0.0044,13470,0.0044,1940,0.0044,29950,0.0044,79560,0.0044,1620,0.0044,3100,0.0044,6280,0.0044
25-2022,2040,0.17,2260,0.17,2940,0.17,6640,0.17,6590,0.17,1180,0.17,14040,0.17,40350,0.17,870,0.17,970,0.17,2820,0.17
25-2023,140,0.26,220,0.26,150,0.26,260,0.26,320,0.26,70,0.26,0,0.26,1930,0.26,40,0.26,70,0.26,260,0.26
25-2031,4320,0.0078,2360,0.0078,6250,0.0078,10210,0.0078,11470,0.0078,1960,0.0078,19670,0.0078,65880,0.0078,1440,0.0078,2690,0.0078,5510,0.0078
25-2032,420,0.0088,190,0.0088,530,0.0088,330,0.0088,580,0.0088,220,0.0088,660,0.0088,4170,0.0088,440,0.0088,190,0.0088,610,0.0088
25-2053,450,0.016,400,0.016,890,0.016,1410,0.016,1810,0.016,270,0.016,4980,0.016,11320,0.016,170,0.016,260,0.016,670,0.016
25-2054,860,0.0077,390,0.0077,1570,0.0077,3100,0.0077,2420,0.0077,420,0.0077,6530,0.0077,17270,0.0077,270,0.0077,540,0.0077,1180,0.0077
25-3011,180,0.19,520,0.19,130,0.19,640,0.19,490,0.19,140,0.19,2480,0.19,5010,0.19,30,0.19,100,0.19,290,0.19
25-3021,1560,0.13,760,0.13,1820,0.13,4770,0.13,5580,0.13,650,0.13,16440,0.13,34010,0.13,230,0.13,640,0.13,1550,0.13
25-4011,0,0.76,0,0.76,0,0.76,0,0.76,0,0.76,0,0.76,640,0.76,870,0.76,,,0,0.76,0,0.76
25-4012,80,0.0068,0,0.0068,60,0.0068,0,0.0068,0,0.0068,0,0.0068,920,0.0068,1310,0.0068,20,0.0068,0,0.0068,50,0.0068
25-4013,90,0.59,0,0.59,,,0,0.59,0,0.59,,,580,0.59,920,0.59,,,0,0.59,70,0.59
25-4021,820,0.65,560,0.65,770,0.65,1850,0.65,2470,0.65,270,0.65,3530,0.65,11860,0.65,240,0.65,500,0.65,840,0.65
25-4031,400,0.99,390,0.99,370,0.99,1340,0.99,1510,0.99,170,0.99,2010,0.99,7390,0.99,260,0.99,340,0.99,600,0.99
25-9011,50,0.39,0,0.39,180,0.39,0,0.39,0,0.39,,,0,0.39,680,0.39,30,0.39,0,0.39,60,0.39
25-9021,,,,,,,,,,,,,,,0,0.0075,,,,,,
25-9031,980,0.0042,450,0.0042,770,0.0042,760,0.0042,1060,0.0042,190,0.0042,5800,0.0042,11650,0.0042,190,0.0042,780,0.0042,650,0.0042
25-9041,6570,0.56,5030,0.56,8490,0.56,20120,0.56,22160,0.56,3180,0.56,44340,0.56,125840,0.56,2380,0.56,4450,0.56,9050,0.56
27-1011,150,0.023,60,0.023,160,0.023,210,0.023,320,0.023,0,0.023,6780,0.023,7960,0.023,,,0,0.023,130,0.023
27-1012,,,,,,,0,0.035,,,,,260,0.035,,,,,,,,
