SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
27-3043,160,0,60,0,130,0,320,0,310,0,0,0,5440,0,6800,0,0,0,70,0,110,0
27-3091,90,0,0,0,280,0,110,0,,,90,0,1710,0,2720,0,,,0,0,0,0
27-4011,130,1,290,1,180,1,300,1,380,1,0,1,4230,1,6580,1,30,1,140,1,430,1
27-4012,110,1,160,1,110,1,0,1,110,1,,,3100,1,4010,1,,,50,1,180,1
27-4014,0,0,,,70,0,0,0,0,0,,,1710,0,2100,0,,,,,0,0
27-4021,160,0,100,0,150,0,310,0,400,0,0,0,2280,0,3720,0,,,90,0,100,0
27-4031,0,1,,,80,1,,,0,1,,,1200,1,1620,1,20,1,,,0,1
27-4032,0,0,,,50,0,0,0,0,0,,,4280,0,4850,0,,,,,,
29-1011,160,0,,,110,0,120,0,570,0,,,610,0,1840,0,0,0,0,0,170,0
29-1021,320,0,340,0,350,0,1040,0,1020,0,120,0,4040,0,7710,0,80,0,130,0,250,0
29-1022,0,0,,,,,0,0,0,0,,,0,0,660,0,,,,,0,0
29-1023,,,,,,,,,0,0,,,0,0,0,0,,,,,,
29-1031,310,0,170,0,310,0,780,0,710,0,150,0,1990,0,4960,0,90,0,130,0,320,0
29-1041,130,0,80,0,150,0,570,0,540,0,0,0,970,0,2690,0,0,0,60,0,130,0
29-1051,1320,0,650,0,870,0,2100,0,2720,0,630,0,9600,0,20430,0,390,0,420,0,1700,0
29-1071,800,0,580,0,810,0,930,0,2600,0,220,0,5000,0,12070,0,250,0,180,0,690,0
29-1081,0,0,,,0,0,0,0,300,0,,,590,0,1140,0,,,0,0,60,0
29-1122,500,0,370,0,670,0,1150,0,1280,0,250,0,2650,0,8140,0,200,0,240,0,720,0
